frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,38.0,39.0,62.0,103.0,139.0,99.0,44.0,94.0,97.0,83.0
2.0,39.0,41.0,74.0,102.0,135.0,87.0,45.0,97.0,124.0,81.0
3.0,42.0,55.0,87.0,104.0,112.0,93.0,44.0,103.0,142.0,87.0
4.0,30.0,62.0,94.0,92.0,99.0,92.0,45.0,107.0,168.0,84.0
5.0,32.0,68.0,95.0,89.0,98.0,82.0,45.0,107.0,191.0,82.0
6.0,36.0,64.0,89.0,80.0,72.0,79.0,46.0,109.0,216.0,84.0
7.0,32.0,60.0,78.0,81.0,76.0,85.0,45.0,108.0,239.0,87.0
8.0,25.0,61.0,68.0,86.0,74.0,87.0,46.0,108.0,260.0,80.0
9.0,42.0,68.0,76.0,94.0,71.0,84.0,46.0,109.0,287.0,81.0
10.0,39.0,70.0,93.0,104.0,85.0,70.0,43.0,104.0,309.0,72.0
11.0,35.0,69.0,84.0,80.0,81.0,84.0,42.0,101.0,336.0,78.0
12.0,44.0,66.0,81.0,81.0,59.0,97.0,41.0,99.0,343.0,85.0
13.0,63.0,68.0,97.0,88.0,55.0,84.0,36.0,102.0,376.0,82.0
14.0,48.0,70.0,113.0,100.0,58.0,71.0,37.0,99.0,385.0,79.0
15.0,55.0,73.0,98.0,93.0,52.0,74.0,45.0,101.0,390.0,83.0
16.0,59.0,78.0,66.0,87.0,54.0,77.0,44.0,106.0,416.0,80.0
17.0,62.0,83.0,72.0,97.0,75.0,74.0,45.0,109.0,434.0,78.0
18.0,78.0,75.0,84.0,101.0,63.0,94.0,39.0,100.0,448.0,81.0
19.0,85.0,76.0,90.0,93.0,45.0,106.0,43.0,94.0,456.0,81.0
20.0,84.0,76.0,91.0,81.0,76.0,99.0,49.0,93.0,479.0,84.0
21.0,85.0,78.0,84.0,81.0,86.0,86.0,53.0,94.0,492.0,86.0
22.0,70.0,85.0,93.0,81.0,109.0,77.0,42.0,88.0,493.0,85.0
23.0,79.0,80.0,84.0,83.0,123.0,85.0,43.0,89.0,511.0,88.0
24.0,79.0,80.0,81.0,83.0,132.0,86.0,41.0,90.0,514.0,91.0
25.0,66.0,85.0,78.0,83.0,143.0,86.0,44.0,94.0,525.0,94.0
26.0,75.0,80.0,59.0,81.0,165.0,85.0,50.0,101.0,537.0,94.0
27.0,71.0,78.0,59.0,92.0,184.0,84.0,55.0,104.0,552.0,90.0
28.0,69.0,72.0,55.0,100.0,148.0,97.0,55.0,106.0,561.0,87.0
29.0,87.0,77.0,58.0,105.0,133.0,102.0,52.0,104.0,564.0,90.0
30.0,96.0,80.0,64.0,107.0,163.0,85.0,51.0,101.0,570.0,88.0
31.0,103.0,72.0,39.0,91.0,154.0,84.0,64.0,98.0,572.0,78.0
32.0,120.0,67.0,58.0,95.0,153.0,81.0,69.0,97.0,562.0,79.0
33.0,129.0,60.0,77.0,107.0,142.0,78.0,68.0,103.0,569.0,80.0
34.0,124.0,61.0,89.0,110.0,144.0,70.0,59.0,106.0,573.0,87.0
35.0,121.0,53.0,100.0,107.0,142.0,80.0,58.0,101.0,579.0,89.0
36.0,127.0,52.0,119.0,103.0,134.0,95.0,61.0,93.0,583.0,87.0
37.0,133.0,60.0,109.0,92.0,154.0,87.0,68.0,86.0,582.0,81.0
38.0,135.0,56.0,108.0,93.0,135.0,75.0,71.0,97.0,575.0,79.0
39.0,139.0,58.0,119.0,93.0,120.0,80.0,69.0,99.0,571.0,81.0
40.0,134.0,60.0,136.0,104.0,119.0,86.0,79.0,101.0,575.0,88.0
41.0,133.0,53.0,151.0,101.0,92.0,89.0,36.0,67.0,563.0,85.0
42.0,140.0,57.0,159.0,95.0,65.0,92.0,35.0,78.0,560.0,87.0
43.0,132.0,62.0,154.0,89.0,90.0,90.0,102.0,110.0,548.0,88.0
44.0,136.0,66.0,144.0,82.0,115.0,87.0,97.0,112.0,549.0,87.0
45.0,140.0,69.0,154.0,95.0,118.0,97.0,103.0,113.0,553.0,90.0
46.0,129.0,69.0,168.0,102.0,97.0,108.0,100.0,110.0,562.0,92.0
47.0,123.0,69.0,187.0,104.0,84.0,100.0,98.0,112.0,569.0,96.0
48.0,133.0,65.0,189.0,89.0,80.0,95.0,36.0,88.0,578.0,94.0
49.0,132.0,59.0,169.0,75.0,62.0,97.0,31.0,82.0,578.0,93.0
50.0,135.0,62.0,170.0,85.0,51.0,90.0,28.0,76.0,576.0,94.0
51.0,132.0,59.0,182.0,89.0,57.0,99.0,29.0,81.0,572.0,92.0
